aln_base	nheaders	pis	vars	seq_len	seq_len_nogap	nogap_prop	gc_mean	gc_var	gap_mean	gap_var	pi_mean	pi_std	total_tree_len	treeness	inter_len_mean	inter_len_var	ter_len_mean	ter_len_var	supp_mean	coeffVar_len	rcv	treeness_o_rcv	saturation	LB_std	gc_mean_pos1	gc_var_pos1	gap_mean_pos1	gap_var_pos1	gc_mean_pos2	gc_var_pos2	gap_mean_pos2	gap_var_pos2	gc_mean_pos3	gc_var_pos3	gap_mean_pos3	gap_var_pos3	invariants	singletons	patterns	entropy
clean_COI.phy-out.fas	350	48.233486943164365	51.45929339477727	651	0.0	0.935853	46.967775	6.177705	6.414747	217.998315	69.797785	15.634937	185.547973	0.358232	0.191554	0.042598	0.340225	0.172052	58.78674399999999	1.262653	0.000306342857142857	0.29930300000000004	0.46814	24.157283	56.72508199999999	3.150255	6.414747	217.998315	42.492246	1.177616	6.414747	217.998315	41.685996	44.406145	6.414747	217.998315	48.54070660522273	21	491	0.509919
clean_CYTB.phy-out.fas	365	60.26315789473684	66.05263157894737	1140	0.0	0.8718670000000001	46.726202	6.0281910000000005	12.813266	444.222401	58.407178	19.924018	166.18457800000004	0.34324	0.157572	0.033863	0.299023	0.327309	64.359116	1.886448	0.000465304109589041	0.494802	0.705358	26.388483	52.579356	3.771056	12.813266	444.222401	38.724122	1.633357	12.813266	444.222401	48.875126	36.895519	12.813266	444.222401	33.94736842105263	66	990	0.606275
clean_E0001.phy-out.fas	352	44.270833333333336	55.208333333333336	192	85.9375	0.997825	57.589192	3.825069	0.217507	1.489738	91.910188	3.860577	11.813169	0.436569	0.014777	0.000872	0.018909	0.001677	29.830946	2.121986	0.000102465909090909	0.082617	5.258097	42.19932100000001	59.225013	2.950287	0.217507	1.489738	33.683648	1.38071	0.217507	1.489738	79.858915	26.581862	0.217507	1.489738	44.791666666666664	21	118	0.202362
clean_E0003.phy-out.fas	319	65.64102564102564	70.25641025641026	195	53.84615384615385	0.978249	53.370831	9.725465	2.175066	7.9742419999999985	81.691476	5.54863	21.452613	0.443198	0.030088	0.0021260000000000003	0.037445	0.003633	46.746835	1.591726	0.000217921630094044	0.156853	3.775606	23.373383	65.686001	4.33718	2.175066	7.9742419999999985	36.114451	3.320247	2.175066	7.9742419999999985	58.312041	72.740751	2.175066	7.9742419999999985	29.743589743589745	9	156	0.41939099999999996
clean_E0009.phy-out.fas	342	65.60846560846561	74.60317460317461	189	50.79365079365079	0.995405	47.899236	7.049722	0.459482	9.356546	85.26606899999999	5.9120550000000005	18.665424	0.443113	0.024398	0.001495	0.030393	0.002643	47.572271	1.6628599999999998	0.000163418128654971	0.126128	2.852498	27.472139	47.883909	6.111986	0.459482	9.356546	29.708642	1.874258	0.459482	9.356546	66.10515799999999	46.26488300000001	0.459482	9.356546	25.396825396825395	17	160	0.375145
clean_E0010.phy-out.fas	323	66.14583333333333	69.27083333333333	192	46.875	0.989793	53.514684	14.124179000000002	1.020704	17.189654	81.82727	7.041556	14.433704999999998	0.474664	0.02141	0.0014119999999999998	0.023475	0.002252	46.396875	1.906811	0.00023049845201238397	0.15685	1.7981189999999998	27.594673	50.678957	13.719162	1.020704	17.189654	33.099346999999995	6.6430669999999985	1.020704	17.189654	76.765749	60.87403199999999	1.020704	17.189654	30.729166666666668	6	157	0.429332
clean_E0011.phy-out.fas	365	51.851851851851855	59.25925925925926	189	66.66666666666667	0.995738	57.031116	13.769914000000002	0.42618	3.70791	86.330011	5.016832	20.992505	0.4537350000000001	0.026312	0.002178	0.031418	0.003326	42.453039	1.818473	0.000190671232876712	0.153382	5.228567	31.460399	69.28602	2.091366	0.42618	3.70791	42.402599	1.948802	0.42618	3.70791	59.40473100000001	118.345391	0.42618	3.70791	40.74074074074074	14	131	0.34305399999999997
clean_E0012.phy-out.fas	203	63.020833333333336	69.27083333333333	192	17.1875	0.955049	63.604661	6.672049	4.495074	92.434072	80.889738	11.421246	11.795155	0.38183	0.022519	0.001462	0.035918	0.002878	38.5	1.607973	0.000413064039408867	0.219606	0.422911	22.023296	69.145094	5.947236	4.495074	92.434072	43.510269	4.041622	4.495074	92.434072	78.15862	37.059384	4.495074	92.434072	30.729166666666668	12	166	0.322766
clean_E0013.phy-out.fas	355	53.125	61.979166666666664	192	90.625	0.999164	56.080142	6.247476	0.08362699999999999	0.399888	87.553671	4.209447	19.642671	0.430453	0.024021	0.0016600000000000002	0.031514	0.003194	42.170455	1.778144	0.00014796338028169	0.122027	5.3987940000000005	29.948222	61.944638	2.927593	0.08362699999999999	0.399888	44.901204	1.134596	0.08362699999999999	0.399888	61.394583	50.434981	0.08362699999999999	0.399888	38.020833333333336	17	127	0.325704
clean_E0014.phy-out.fas	248	44.270833333333336	51.5625	192	18.75	0.968624	56.176883	8.589406	3.137601	63.654319	84.31124799999998	10.337816	12.66106	0.417943	0.021598	0.001453	0.029716000000000006	0.0033200000000000005	36.861224	1.909034	0.000309620967741935	0.183724	0.687684	32.134031	64.02406500000001	5.879525	3.137601	63.654319	37.418104	1.1731	3.137601	63.654319	67.08848	63.185798	3.137601	63.654319	48.4375	14	155	0.27099
clean_E0020.phy-out.fas	349	52.083333333333336	60.416666666666664	192	60.9375	0.98733	55.727246	3.748304	1.267013	20.608265	88.750846	6.485018	11.143812	0.453184	0.014596	0.000491	0.01746	0.000991	40.156069	1.7004009999999998	0.000144355300859599	0.111169	1.496035	28.968182	54.944456	2.619935	1.267013	20.608265	35.863408	2.1148580000000003	1.267013	20.608265	76.373873	29.125451	1.267013	20.608265	39.583333333333336	16	135	0.24476900000000001
